tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-17-001595-c,"ДК 021-2015 - 45110000-1- Руйнування та знесення будівель і земляні роботи (Виконання робіт щодо демонтажу споруд (тир та сарай) Сіверської ЗОШ І-ІІІ ступенів № 2 Артемівської районної ради Донецької області, розташованої за адресою: Донецька область, Бахмутський район, м. Сіверськ, вул. Богдана Хмельницького, 2)",451,0,0,0,0,7,belowThreshold,72100,2142619,unsuccessful,845
UA-2017-02-20-000020-c,"Туалетний папір, носові хустинки, рушники для рук і серветки",337,0,0,0,0,1,belowThreshold,11158,26267255,unsuccessful,31
UA-2017-02-07-000638-a,Дизельне паливо Євро5 (наливом),91,0,0,0,0,6,aboveThresholdUA,1000000,3359121,complete,40
UA-2017-02-08-001059-c,"Овочі, фрукти і горіхи",32,0,0,0,0,4,belowThreshold,56200,1987014,complete,500
UA-2017-02-07-000425-b,послуги з відведення стічних вод,904,0,0,0,0,1,negotiation.quick,399005.3,37611417,complete,690
UA-2017-02-07-000754-b,Бланки,228,0,0,0,0,7,belowThreshold,23681,36205651,complete,237
UA-2017-02-10-000454-a,крупа в асортименті,156,0,0,0,0,4,aboveThresholdUA,170000,1982264,complete,210
UA-2017-02-10-000536-a,"Послуги пов""язані із системами та підпримкою",722,0,0,0,0,3,belowThreshold,25000,3188783,cancelled,21
UA-2017-02-01-000226-b,90511300-5 Послуги зі збирання розкиданого сміття,905,0,0,0,0,6,belowThreshold,26000,34701476,unsuccessful,525
UA-2017-02-24-000508-c,"Послуги у сфері повітряного сполучення та супутні послуги, ДК 021:2015 – 6044",604,0,0,0,0,3,negotiation,190000,25196197,cancelled,83
UA-2017-02-10-000633-c,Антисептичні та дезінфекційні засоби,336,0,0,0,0,4,belowThreshold,30000,37002134,complete,11
UA-2017-02-10-002740-c,"Код ДК 021:2015 33600000-6 Фармацевтична продукція (протибактеріальні засоби, для системного застосування) – 14 лотів",336,0,0,0,0,12,aboveThresholdUA,286646.3,2008951,complete,360
UA-2017-02-28-000848-a,Вершкове масло,155,0,0,0,0,4,aboveThresholdUA,560000,5493183,complete,875
UA-2017-02-14-002112-c,"Лот 1: пара, гаряча вода та пов’язана продукція - 1247 Гкал, Лот 2: пара, гаряча вода та пов’язана продукція - 600 Гкал",93,0,0,0,0,5,negotiation.quick,2656200,26125035,complete,30
UA-2017-02-27-000669-b,Господарчі товари,392,0,0,0,0,4,belowThreshold,11000,4052784,unsuccessful,875
UA-2017-02-03-000856-b,Канати сталеві,395,1,claim,0,0,4,belowThreshold,5900,20762097,cancelled,825
UA-2017-02-27-001248-a,Послуги зі страхування цивільної відповідальності власників автомобільного транспорту,665,0,0,0,0,4,aboveThresholdUA,250000,24978319,complete,31
UA-2017-02-13-000142-a,"Природний газ для опалення підрозділів КЛЗ ""Центр первинної медико-санітарної допомоги Бобринецького району""",91,0,0,0,0,6,negotiation,734400,38614230,complete,272
UA-2017-02-28-000402-c,Теплова енергія,93,0,0,0,0,1,negotiation,229138.72,37972475,complete,140
UA-2017-02-20-002275-c,М'ясо свійської птиці,151,0,0,1,1,2,belowThreshold,115200,23004348,complete,610
UA-2017-02-02-001520-b,теплова енергія,93,0,0,0,0,1,negotiation.quick,257072.15,4590116,complete,540
